No,Filename,Path,True Class,Predicted Class,Result,Confidence,Confidence (%),Fresh Probability,Fresh Probability (%),Rotten Probability,Rotten Probability (%)
1,freshCarrot (392).jpg,test\Fresh\freshCarrot (392).jpg,fresh,fresh,Correct,0.9537100196,95.371002,0.9537100196,95.371002,0.0462900065,4.629001
2,tomat_segar (1417).jpg,test\Fresh\tomat_segar (1417).jpg,fresh,fresh,Correct,0.9999848604,99.998486,0.9999848604,99.998486,0.0000151134,0.001511
3,20220413_191554_jpg.rf.c5459e41d81c9a1f466c4c0b08943c23.jpg,test\Fresh\20220413_191554_jpg.rf.c5459e41d81c9a1f466c4c0b08943c23.jpg,fresh,fresh,Correct,0.9999954700,99.999547,0.9999954700,99.999547,0.0000045628,0.000456
4,vertical_flip_Screen Shot 2018-06-13 at 12.01.49 AM.png,test\Fresh\vertical_flip_Screen Shot 2018-06-13 at 12.01.49 AM.png,fresh,fresh,Correct,0.9999599457,99.995995,0.9999599457,99.995995,0.0000400016,0.004000
5,IMG_3912_png.rf.a0afa073169867cd6cdab729997c84c3.jpg,test\Fresh\IMG_3912_png.rf.a0afa073169867cd6cdab729997c84c3.jpg,fresh,fresh,Correct,0.9999009371,99.990094,0.9999009371,99.990094,0.0000990288,0.009903
6,freshTomato (268).jpg,test\Fresh\freshTomato (268).jpg,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000109,0.000001
7,freshCarrot (410).jpg,test\Fresh\freshCarrot (410).jpg,fresh,fresh,Correct,0.9996470213,99.964702,0.9996470213,99.964702,0.0003529633,0.035296
8,capsicum3_3.jpg_0_2272.jpg,test\Fresh\capsicum3_3.jpg_0_2272.jpg,fresh,fresh,Correct,0.9999980927,99.999809,0.9999980927,99.999809,0.0000019650,0.000196
9,jeruk_segar (1289).png,test\Fresh\jeruk_segar (1289).png,fresh,fresh,Correct,0.9999873638,99.998736,0.9999873638,99.998736,0.0000126952,0.001270
10,360_F_306504339_7WsN1XJOHU7pYKbbEsHIJ8iuGS1fbg2Y_jpg.rf.aee71771461e108f0080fa0ad88f732a.jpg,test\Fresh\360_F_306504339_7WsN1XJOHU7pYKbbEsHIJ8iuGS1fbg2Y_jpg.rf.aee71771461e108f0080fa0ad88f732a.jpg,fresh,fresh,Correct,0.9999992847,99.999928,0.9999992847,99.999928,0.0000007199,0.000072
11,o (1226).jpg,test\Fresh\o (1226).jpg,fresh,fresh,Correct,0.9889439344,98.894393,0.9889439344,98.894393,0.0110560805,1.105608
12,tomat_segar (734).jpg,test\Fresh\tomat_segar (734).jpg,fresh,fresh,Correct,0.9999997616,99.999976,0.9999997616,99.999976,0.0000002065,0.000021
13,wortel_segar (1995).jpg,test\Fresh\wortel_segar (1995).jpg,fresh,fresh,Correct,0.7484454513,74.844545,0.7484454513,74.844545,0.2515545785,25.155458
14,wortel_s (166).jpg,test\Fresh\wortel_s (166).jpg,fresh,fresh,Correct,0.9995211363,99.952114,0.9995211363,99.952114,0.0004788178,0.047882
15,saltandpepper_Screen-Shot-2018-06-13-at-12-17-10-AM_png.rf.5faef1d2eccab66843569e45aebea11d.jpg,test\Fresh\saltandpepper_Screen-Shot-2018-06-13-at-12-17-10-AM_png.rf.5faef1d2eccab66843569e45aebea11d.jpg,fresh,fresh,Correct,0.9988228679,99.882287,0.9988228679,99.882287,0.0011771006,0.117710
16,IMG_20200901_181751.jpg_0_1278.jpg,test\Fresh\IMG_20200901_181751.jpg_0_1278.jpg,fresh,fresh,Correct,0.9811888337,98.118883,0.9811888337,98.118883,0.0188112240,1.881122
17,b_f198.png,test\Fresh\b_f198.png,fresh,fresh,Correct,0.9999988079,99.999881,0.9999988079,99.999881,0.0000011353,0.000114
18,tomat_segar (2821).jpg,test\Fresh\tomat_segar (2821).jpg,fresh,fresh,Correct,0.9986032844,99.860328,0.9986032844,99.860328,0.0013967202,0.139672
19,freshCucumber (413).jpg,test\Fresh\freshCucumber (413).jpg,fresh,fresh,Correct,0.9997693896,99.976939,0.9997693896,99.976939,0.0002306206,0.023062
20,vertical_flip_Screen Shot 2018-06-13 at 12.11.02 AM.png,test\Fresh\vertical_flip_Screen Shot 2018-06-13 at 12.11.02 AM.png,fresh,fresh,Correct,0.9998761415,99.987614,0.9998761415,99.987614,0.0001237998,0.012380
21,reject (789).jpg,test\Fresh\reject (789).jpg,fresh,fresh,Correct,0.9997665286,99.976653,0.9997665286,99.976653,0.0002334346,0.023343
22,IMG_20220526_085937.jpg,test\Fresh\IMG_20220526_085937.jpg,fresh,fresh,Correct,0.8184523582,81.845236,0.8184523582,81.845236,0.1815475821,18.154758
23,jeruk_segar (3).jpg,test\Fresh\jeruk_segar (3).jpg,fresh,fresh,Correct,0.9953879714,99.538797,0.9953879714,99.538797,0.0046121110,0.461211
24,rotated_by_30_Screen Shot 2018-06-13 at 12.11.45 AM.png,test\Fresh\rotated_by_30_Screen Shot 2018-06-13 at 12.11.45 AM.png,fresh,fresh,Correct,0.9999872446,99.998724,0.9999872446,99.998724,0.0000128078,0.001281
25,tomat_segar (573).jpg,test\Fresh\tomat_segar (573).jpg,fresh,fresh,Correct,0.9995903373,99.959034,0.9995903373,99.959034,0.0004097194,0.040972
26,IMG_20220525_073215.jpg,test\Fresh\IMG_20220525_073215.jpg,fresh,fresh,Correct,0.9999830723,99.998307,0.9999830723,99.998307,0.0000169698,0.001697
27,freshStrawberry (544).jpg,test\Fresh\freshStrawberry (544).jpg,fresh,fresh,Correct,0.9514614344,95.146143,0.9514614344,95.146143,0.0485386178,4.853862
28,wortel_segar (1513).jpg,test\Fresh\wortel_segar (1513).jpg,fresh,fresh,Correct,0.9999951124,99.999511,0.9999951124,99.999511,0.0000049397,0.000494
29,Test_Black Root Rot_10.jpg,test\Fresh\Test_Black Root Rot_10.jpg,fresh,fresh,Correct,0.9999668598,99.996686,0.9999668598,99.996686,0.0000331782,0.003318
30,IMG_3662_JPEG_jpg.rf.18dbaf50ccc621aa12739e48af1a0c15.jpg,test\Fresh\IMG_3662_JPEG_jpg.rf.18dbaf50ccc621aa12739e48af1a0c15.jpg,fresh,fresh,Correct,0.9760586023,97.605860,0.9760586023,97.605860,0.0239413679,2.394137
31,vertical_flip_Screen Shot 2018-06-12 at 9.42.29 PM.png,test\Fresh\vertical_flip_Screen Shot 2018-06-12 at 9.42.29 PM.png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000001,0.000000
32,tomat_segar (5708).jpg,test\Fresh\tomat_segar (5708).jpg,fresh,fresh,Correct,0.9999859333,99.998593,0.9999859333,99.998593,0.0000140654,0.001407
33,n07749192_6456_jpg.rf.2896a27abd068dbb10a4e418a4cf9ff7.jpg,test\Fresh\n07749192_6456_jpg.rf.2896a27abd068dbb10a4e418a4cf9ff7.jpg,fresh,fresh,Correct,0.9999827147,99.998271,0.9999827147,99.998271,0.0000173426,0.001734
34,freshApple (759).png,test\Fresh\freshApple (759).png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000363,0.000004
35,rotated_by_75_Screen Shot 2018-06-08 at 5.09.40 PM.png,test\Fresh\rotated_by_75_Screen Shot 2018-06-08 at 5.09.40 PM.png,fresh,fresh,Correct,0.9996877909,99.968779,0.9996877909,99.968779,0.0003122408,0.031224
36,wortel_segar (2112).jpg,test\Fresh\wortel_segar (2112).jpg,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000381,0.000004
37,rotated_by_60_Screen-Shot-2018-06-12-at-11-20-52-PM_png.rf.3e22fe4c6fb6148219cb5254ea5a227d.jpg,test\Fresh\rotated_by_60_Screen-Shot-2018-06-12-at-11-20-52-PM_png.rf.3e22fe4c6fb6148219cb5254ea5a227d.jpg,fresh,rotten,Incorrect,0.9509246945,95.092469,0.0490752682,4.907527,0.9509246945,95.092469
38,1223_jpg.rf.e7b016a74e1fd9083699db9b5984ecd2.jpg,test\Fresh\1223_jpg.rf.e7b016a74e1fd9083699db9b5984ecd2.jpg,fresh,fresh,Correct,0.9980776310,99.807763,0.9980776310,99.807763,0.0019223089,0.192231
39,IMG_20200825_144655.jpg_0_220.jpg,test\Fresh\IMG_20200825_144655.jpg_0_220.jpg,fresh,fresh,Correct,0.9999904633,99.999046,0.9999904633,99.999046,0.0000095393,0.000954
40,b_f206.png,test\Fresh\b_f206.png,fresh,fresh,Correct,1.0000000000,100.000000,1.0000000000,100.000000,0.0000000182,0.000002
41,t_f435.png,test\Fresh\t_f435.png,fresh,fresh,Correct,0.9961563945,99.615639,0.9961563945,99.615639,0.0038435734,0.384357
42,tomat_segar (1633).jpg,test\Fresh\tomat_segar (1633).jpg,fresh,fresh,Correct,0.9991424084,99.914241,0.9991424084,99.914241,0.0008575373,0.085754
43,125_jpg.rf.61ed50f0a057170ff451ccb5e6e13618.jpg,test\Fresh\125_jpg.rf.61ed50f0a057170ff451ccb5e6e13618.jpg,fresh,fresh,Correct,0.9994162321,99.941623,0.9994162321,99.941623,0.0005838425,0.058384
44,26408936252_jpg.rf.68c2fe0016f202b1d82211a4049b2280.jpg,test\Fresh\26408936252_jpg.rf.68c2fe0016f202b1d82211a4049b2280.jpg,fresh,fresh,Correct,0.9999877214,99.998772,0.9999877214,99.998772,0.0000122417,0.001224
45,freshPotato (1).png,test\Fresh\freshPotato (1).png,fresh,fresh,Correct,0.9997401834,99.974018,0.9997401834,99.974018,0.0002597576,0.025976
46,KakaoTalk_20230809_191311559_07_jpg.rf.28094276fe3a4265d00e50b625e2f170.jpg,test\Fresh\KakaoTalk_20230809_191311559_07_jpg.rf.28094276fe3a4265d00e50b625e2f170.jpg,fresh,fresh,Correct,0.9998873472,99.988735,0.9998873472,99.988735,0.0001126825,0.011268
47,tomat_segar (4144).jpg,test\Fresh\tomat_segar (4144).jpg,fresh,fresh,Correct,0.9999927282,99.999273,0.9999927282,99.999273,0.0000072167,0.000722
48,freshCucumber (556).jpg,test\Fresh\freshCucumber (556).jpg,fresh,fresh,Correct,0.9998435974,99.984360,0.9998435974,99.984360,0.0001563639,0.015636
49,freshCucumber (533).jpg,test\Fresh\freshCucumber (533).jpg,fresh,fresh,Correct,0.9999742508,99.997425,0.9999742508,99.997425,0.0000257113,0.002571
50,tomat_segar (2547).jpg,test\Fresh\tomat_segar (2547).jpg,fresh,fresh,Correct,0.9904210567,99.042106,0.9904210567,99.042106,0.0095789041,0.957890
51,freshCucumber (433).jpg,test\Fresh\freshCucumber (433).jpg,fresh,fresh,Correct,0.9948195815,99.481958,0.9948195815,99.481958,0.0051804157,0.518042
52,images49_jpg.rf.c8835b37fbd791d449e1124f7e4762cf.jpg,test\Fresh\images49_jpg.rf.c8835b37fbd791d449e1124f7e4762cf.jpg,fresh,fresh,Correct,0.9999034405,99.990344,0.9999034405,99.990344,0.0000965141,0.009651
53,r_103_100_jpg.rf.45c80e60426d938c0a93037f6d9c8629.jpg,test\Fresh\r_103_100_jpg.rf.45c80e60426d938c0a93037f6d9c8629.jpg,fresh,fresh,Correct,0.9999969006,99.999690,0.9999969006,99.999690,0.0000031320,0.000313
