image,detected,bbox,expected,predicted,confidence,fresh_probability,rotten_probability,correct,error
Dataset/Fresh/FreshTomato/reject (89).jpg,True,"211,137,377,339",fresh,fresh,0.999265,0.999265,0.000735,True,
Dataset/Fresh/FreshTomato/tomat_segar (4372).jpg,True,"2,0,98,100",fresh,fresh,0.999407,0.999407,0.000593,True,
Dataset/Fresh/FreshCarrot/A260109XX_10668_jpg.rf.6db11013adaca6d4f8b635d81431b481.jpg,True,"0,0,465,640",fresh,fresh,0.994294,0.994294,0.005706,True,
Dataset/Fresh/FreshTomato/IMG_20220531_092130.jpg,True,"56,32,211,212",fresh,fresh,0.919512,0.919512,0.080488,True,
Dataset/Rotten/RottenBanana/vertical_flip_Screen Shot 2018-06-12 at 9.12.45 PM.png,True,"57,44,393,210",rotten,rotten,0.999573,0.000427,0.999573,True,
Dataset/Fresh/FreshBanana/b_f566.png,True,"22,12,247,316",fresh,fresh,0.936355,0.936355,0.063645,True,
Dataset/Fresh/FreshOkara/o_f230.png,True,"133,100,300,211",fresh,fresh,0.821468,0.821468,0.178532,True,
Dataset/Fresh/FreshCarrot/Carrot-Pumpkins-2_jpg.rf.1546c075fbbf55403461b43d23614e11.jpg,True,"7,12,227,409",fresh,fresh,0.641195,0.641195,0.358805,True,
Dataset/Fresh/FreshOrange/jeruk_s (161).jpg,True,"29,42,778,776",fresh,fresh,0.999404,0.999404,0.000596,True,
Dataset/Fresh/FreshTomato/o (2085).jpg,True,"0,3,256,253",fresh,fresh,0.998778,0.998778,0.001222,True,
Dataset/Rotten/RottenCapsicum/WhatsApp Image 2020-11-07 at 11.35.36 PM.jpeg_0_5261.jpg,True,"55,94,424,404",rotten,fresh,0.827999,0.827999,0.172001,False,
Dataset/Rotten/RottenCapsicum/WhatsApp Image 2020-11-07 at 11.43.16 PM.jpeg_0_1964.jpg,True,"49,63,413,479",rotten,rotten,0.941343,0.058657,0.941343,True,
Dataset/Fresh/FreshTomato/reject (43).jpg,True,"217,166,350,333",fresh,fresh,0.999236,0.999236,0.000764,True,
Dataset/Rotten/RottenTomato/DSCN4221.jpg_0_8930.jpg,True,"166,191,345,365",rotten,fresh,0.960849,0.960849,0.039151,False,
Dataset/Fresh/FreshCarrot/carrot_-409_jpg.rf.23670e3d09b2edc6dc3f11172e0f13a0.jpg,True,"71,92,545,601",fresh,fresh,0.971107,0.971107,0.028893,True,
Dataset/Rotten/RottenApple/rottenApple (145).jpg,True,"64,25,351,317",rotten,rotten,0.749976,0.250024,0.749976,True,
Dataset/Fresh/FreshCarrot/wortel_segar (470).jpg,True,"0,12,224,192",fresh,fresh,0.974642,0.974642,0.025359,True,
Dataset/Fresh/FreshOrange/images137_jpg.rf.0948718d45ef65cad2a249d10dabdaef.jpg,True,"0,0,640,640",fresh,fresh,0.999992,0.999992,0.000008,True,
Dataset/Rotten/RottenBittergroud/IMG_20200826_172240.jpg_0_3907.jpg,True,"54,147,512,377",rotten,rotten,0.991258,0.008742,0.991258,True,
Dataset/Rotten/RottenPotato/p_r458.png,True,"123,101,218,238",rotten,fresh,0.999576,0.999576,0.000424,False,
Dataset/Fresh/FreshTomato/o (1621).jpg,True,"12,12,242,246",fresh,fresh,0.961948,0.961948,0.038052,True,
Dataset/Fresh/FreshTomato/reject (637).jpg,True,"231,160,356,314",fresh,fresh,0.999697,0.999697,0.000303,True,
Dataset/Rotten/RottenBellpepper/rottenPepper (521).jpg,True,"18,7,206,219",rotten,fresh,0.906058,0.906058,0.093942,False,
Dataset/Rotten/RottenBanana/saltandpepper_Screen Shot 2018-06-12 at 9.00.49 PM.png,True,"20,48,346,367",rotten,rotten,0.967254,0.032746,0.967254,True,
Dataset/Fresh/FreshOrange/jeruk_segar (292).png,True,"7,0,246,191",fresh,fresh,0.998813,0.998813,0.001187,True,
Dataset/Rotten/RottenOkra/o_r210.png,True,"115,77,331,242",rotten,fresh,0.525955,0.525955,0.474045,False,
Dataset/Rotten/RottenApple/a_r116.png,True,"18,32,222,248",rotten,rotten,0.584947,0.415053,0.584947,True,
Dataset/Rotten/RottenApple/rottenApple (394).jpg,True,"75,53,478,388",rotten,rotten,0.623177,0.376823,0.623177,True,
Dataset/Fresh/FreshOrange/jeruk_segar (1022).png,True,"16,27,334,297",fresh,fresh,0.990562,0.990562,0.009438,True,
Dataset/Fresh/FreshOrange/jeruk_segar (208).jpg,True,"0,0,250,250",fresh,fresh,0.999948,0.999948,0.000052,True,
Dataset/Fresh/FreshCarrot/gv00000147000_2_jpg.rf.93821e903fd5000a06b898ceefbf208b.jpg,True,"0,0,640,640",fresh,fresh,0.932922,0.932922,0.067078,True,
Dataset/Fresh/FreshOrange/rotated_by_45_Screen-Shot-2018-06-13-at-12-18-27-AM_png.rf.dca29cf66b40756797a8c9924fee098d.jpg,True,"39,29,416,386",fresh,fresh,0.971608,0.971608,0.028392,True,
Dataset/Fresh/FreshBanana/rotated_by_15_Screen Shot 2018-06-12 at 9.56.16 PM.png,True,"19,15,628,350",fresh,fresh,0.916612,0.916612,0.083388,True,
Dataset/Fresh/FreshCarrot/carrot_-302_jpg.rf.2e8571786a5027d6f4b2585ddd7e6e26.jpg,True,"0,122,601,933",fresh,fresh,0.999395,0.999395,0.000605,True,
Dataset/Fresh/FreshOrange/95_jpg.rf.0ef2a438ba7654d397154097db5956a0.jpg,True,"87,38,576,573",fresh,fresh,0.983362,0.983362,0.016638,True,
